timestamp,instance,ops_per_sec,connected_clients,used_memory_mb,cmd_get,cmd_set,cmd_xadd,cmd_xreadgroup,cmd_xack,cmd_watch,cmd_multi,cmd_exec,cmd_eval,total_commands
1775422258,redis-bus,55706,787,19.0,0,0,3401629,1360555,1693331,0,0,0,0,6480880
1775422258,redis-orchestrator,40075,151,24.5,569403,856587,0,0,0,568985,856778,856778,419,4556101
1775422258,redis-order,43919,1157,19.1,2194168,558121,0,0,0,558151,558142,558142,0,4430729
1775422258,redis-payment,2489,43,18.1,281026,0,0,0,0,0,0,0,0,281345
1775422258,redis-stock,2347,67,18.2,288068,0,0,0,0,0,0,0,0,288459
1775422260,redis-bus,54726,788,18.7,0,0,3469264,1385355,1727570,0,0,0,0,6607883
1775422260,redis-orchestrator,39494,151,24.5,581022,873960,0,0,0,580602,874144,874144,426,4648450
1775422260,redis-order,44908,1158,19.1,2254327,569635,0,0,0,569657,569657,569657,0,4536951
1775422260,redis-payment,2528,43,18.1,286849,0,0,0,0,0,0,0,0,287170
1775422260,redis-stock,2513,67,18.2,293927,0,0,0,0,0,0,0,0,294320
1775422263,redis-bus,54117,788,19.1,0,0,3537117,1410312,1761558,0,0,0,0,6734986
1775422263,redis-orchestrator,38370,151,24.5,592133,890537,0,0,0,591705,890719,890719,429,4736627
1775422263,redis-order,43332,1158,19.1,2308385,580235,0,0,0,580262,580257,580257,0,4633423
1775422263,redis-payment,2472,43,18.1,292379,0,0,0,0,0,0,0,0,292703
1775422263,redis-stock,2380,67,18.2,299341,0,0,0,0,0,0,0,0,299738
1775422265,redis-bus,54551,789,18.7,0,0,3604394,1434404,1794846,0,0,0,0,6859946
1775422265,redis-orchestrator,39566,151,24.5,603578,907926,0,0,0,603146,908104,908104,433,4828691
