timestamp,container,cpu,mem_usage,net_io
1775423489,dds26-team9-stock-web-3,0.30%,211.5MiB / 512MiB,15.6kB / 4.99kB
1775423489,dds26-team9-orchestrator-worker-18,0.75%,35.05MiB / 512MiB,1.59MB / 2.75MB
1775423489,dds26-team9-stock-worker-8,0.56%,33.03MiB / 512MiB,1.53MB / 2.41MB
1775423489,dds26-team9-stock-worker-5,0.63%,35.04MiB / 512MiB,1.53MB / 2.4MB
1775423489,dds26-team9-orchestrator-worker-1,1.00%,32.93MiB / 512MiB,1.59MB / 2.75MB
1775423489,dds26-team9-order-web-23,0.32%,237.8MiB / 1GiB,18.5kB / 5.06kB
1775423489,dds26-team9-order-web-14,0.30%,238.1MiB / 1GiB,17.5kB / 5.67kB
1775423489,dds26-team9-order-web-25,0.31%,237.8MiB / 1GiB,16kB / 5.06kB
1775423489,dds26-team9-order-web-21,0.29%,237.8MiB / 1GiB,14.8kB / 4.99kB
1775423489,dds26-team9-order-web-3,0.32%,237.8MiB / 1GiB,14.1kB / 5.06kB
1775423489,dds26-team9-order-web-19,6.89%,237.4MiB / 1GiB,13.1kB / 4.46kB
1775423489,dds26-team9-order-web-13,7.32%,238.3MiB / 1GiB,13.2kB / 5.67kB
1775423489,dds26-team9-stock-web-1,0.32%,225.1MiB / 512MiB,17.7kB / 3.7MB
1775423489,dds26-team9-order-worker-4,0.72%,34.15MiB / 512MiB,1.61MB / 2.53MB
1775423489,dds26-team9-order-web-16,0.31%,237.5MiB / 1GiB,11.7kB / 4.38kB
1775423489,dds26-team9-order-worker-7,0.68%,36.14MiB / 512MiB,1.61MB / 2.52MB
1775423489,dds26-team9-order-web-24,0.30%,238.4MiB / 1GiB,12.3kB / 6.06kB
1775423489,dds26-team9-order-worker-3,0.70%,38.14MiB / 512MiB,1.6MB / 2.5MB
1775423489,dds26-team9-order-web-7,0.29%,238.4MiB / 1GiB,11.9kB / 6.06kB
1775423489,dds26-team9-order-web-15,0.26%,238.1MiB / 1GiB,11.1kB / 5.39kB
1775423489,dds26-team9-order-web-18,0.31%,237.5MiB / 1GiB,9.89kB / 4.44kB
1775423489,dds26-team9-order-web-10,0.30%,238MiB / 1GiB,10.3kB / 5.52kB
1775423489,dds26-team9-order-worker-6,0.70%,34.16MiB / 512MiB,1.59MB / 2.49MB
1775423489,dds26-team9-order-worker-5,0.61%,35.92MiB / 512MiB,1.58MB / 2.48MB
